code,buy_date,buy_price,sell_date,sell_price,hold_days,return_pct,exit_reason
003021,2024-01-03,64.7619,2024-01-05,58.0036,2,-10.44,signal
003021,2024-01-12,56.2009,2024-01-15,55.6142,3,-1.04,signal
003021,2024-02-21,38.8811,2024-02-29,42.0694,8,8.2,signal
003021,2024-03-05,47.2653,2024-03-25,47.1946,20,-0.15,signal
003021,2024-04-02,43.9004,2024-04-09,42.4158,7,-3.38,signal
003021,2024-04-23,39.5527,2024-05-29,46.3779,36,17.26,signal
003021,2024-05-31,51.265,2024-06-19,51.8634,19,1.17,signal
003021,2024-07-12,44.9716,2024-07-15,43.4855,3,-3.3,signal
003021,2024-08-01,44.6325,2024-08-09,41.8199,8,-6.3,signal
003021,2024-08-16,41.6503,2024-08-21,41.0818,5,-1.36,signal
003021,2024-09-20,35.5664,2024-10-14,42.6377,24,19.88,signal
003021,2024-10-15,45.7097,2024-10-16,42.8971,1,-6.15,signal
003021,2024-10-21,47.1957,2024-10-31,46.6771,10,-1.1,signal
003021,2024-11-05,47.5947,2024-11-19,56.8104,14,19.36,signal
003021,2024-11-20,63.8319,2024-12-16,76.2891,26,19.52,signal
003021,2024-12-23,74.0052,2024-12-24,73.7059,1,-0.4,signal
003021,2024-12-25,74.2345,2024-12-26,72.3096,1,-2.59,signal
003021,2024-12-27,77.0172,2025-01-02,73.696,6,-4.31,signal
003021,2025-01-09,78.224,2025-02-05,95.9075,27,22.61,signal
003021,2025-02-06,99.7274,2025-03-03,139.6324,25,40.01,signal
003021,2025-03-05,145.6465,2025-03-14,147.1127,9,1.01,signal
003021,2025-04-14,116.5731,2025-04-21,107.8261,7,-7.5,signal
003021,2025-04-22,115.6954,2025-05-12,125.6691,20,8.62,signal
003021,2025-05-13,129.6586,2025-05-14,124.0334,1,-4.34,signal
003021,2025-06-19,100.05,2025-06-23,96.0,4,-4.05,signal
003021,2025-06-25,105.24,2025-07-03,104.1,8,-1.08,signal
003021,2025-07-09,108.0,2025-07-30,114.06,21,5.61,signal
003021,2025-08-05,115.99,2025-08-15,117.64,10,1.42,signal
003021,2025-08-19,121.48,2025-08-29,121.69,10,0.17,signal
003021,2025-09-03,123.5,2025-09-04,118.87,1,-3.75,signal
003021,2025-09-12,133.23,2025-09-22,138.56,10,4.0,signal
003021,2025-09-23,140.59,2025-09-29,135.69,6,-3.49,signal
003021,2025-10-30,119.48,2025-10-31,117.3,1,-1.82,signal
003021,2025-11-03,119.0,2025-11-04,115.88,1,-2.62,signal
003021,2025-11-07,119.5,2025-11-10,113.8,3,-4.77,signal
003021,2025-11-25,105.95,2025-12-16,103.01,21,-2.77,signal
003021,2025-12-23,115.7,2026-01-27,121.04,35,4.62,signal
003021,2026-02-04,119.5,2026-02-25,121.0,21,1.26,signal
003021,2026-03-11,125.0,2026-03-16,113.99,5,-8.81,signal
003021,2026-04-09,98.0,2026-04-22,99.59,13,1.62,signal
002247,2024-01-03,2.37,2024-01-18,2.31,15,-2.53,signal
002247,2024-02-28,1.65,2024-02-29,1.4,1,-15.15,signal
002247,2024-03-01,1.56,2024-03-06,1.46,5,-6.41,signal
002247,2024-03-07,1.53,2024-03-26,1.67,19,9.15,signal
002247,2024-04-02,1.75,2024-04-09,1.64,7,-6.29,signal
002247,2024-04-10,1.66,2024-04-11,1.59,1,-4.22,signal
002247,2024-04-30,1.49,2024-05-06,1.39,6,-6.71,signal
002247,2024-05-07,1.44,2024-05-13,1.35,6,-6.25,signal
002247,2024-05-15,1.37,2024-05-23,1.53,8,11.68,signal
002247,2024-06-19,1.27,2024-06-21,1.22,2,-3.94,signal
002247,2024-06-26,1.31,2024-07-16,1.39,20,6.11,signal
002247,2024-07-30,1.38,2024-08-22,1.44,23,4.35,signal
002247,2024-08-27,1.47,2024-09-05,1.48,9,0.68,signal
002247,2024-09-06,1.53,2024-09-09,1.5,3,-1.96,signal
002247,2024-09-20,1.53,2024-09-23,1.5,3,-1.96,signal
002247,2024-09-26,1.61,2024-10-10,1.97,14,22.36,signal
002247,2024-10-11,1.9,2024-10-14,1.8,3,-5.26,signal
002247,2024-10-15,1.87,2024-10-18,1.84,3,-1.6,signal
002247,2024-10-23,1.88,2024-11-04,2.53,12,34.57,signal
002247,2024-11-05,3.04,2024-11-13,3.16,8,3.95,signal
002247,2024-11-21,3.01,2024-11-25,2.78,4,-7.64,signal
002247,2024-11-29,2.9,2024-12-11,3.12,12,7.59,signal
002247,2024-12-12,3.29,2024-12-16,3.16,4,-3.95,signal
002247,2025-01-16,2.64,2025-02-19,2.68,34,1.52,signal
002247,2025-02-25,2.7,2025-03-03,2.61,6,-3.33,signal
002247,2025-03-17,2.65,2025-03-24,2.66,7,0.38,signal
002247,2025-04-16,2.41,2025-05-29,2.6,43,7.88,signal
002247,2025-05-30,2.66,2025-06-03,2.6,4,-2.26,signal
002247,2025-06-05,2.71,2025-06-16,2.63,11,-2.95,signal
002247,2025-06-27,2.69,2025-07-16,2.71,19,0.74,signal
002247,2025-07-17,2.73,2025-07-18,2.74,1,0.37,signal
002247,2025-07-22,2.79,2025-07-24,2.73,2,-2.15,signal
002247,2025-07-29,2.8,2025-07-30,2.73,1,-2.5,signal
002247,2025-08-07,2.82,2025-08-15,2.72,8,-3.55,signal
002247,2025-08-20,2.77,2025-09-01,2.74,12,-1.08,signal
002247,2025-09-10,2.85,2025-09-23,2.82,13,-1.05,signal
002247,2025-09-29,2.74,2025-10-16,2.8,17,2.19,signal
002247,2025-10-22,2.93,2025-11-20,3.11,29,6.14,signal
002247,2025-12-01,3.08,2025-12-04,3.03,3,-1.62,signal
002247,2025-12-09,3.04,2025-12-11,2.92,2,-3.95,signal
002247,2025-12-25,2.89,2025-12-31,2.85,6,-1.38,signal
002247,2026-01-07,2.86,2026-01-08,2.8,1,-2.1,signal
002247,2026-01-09,2.83,2026-01-19,2.78,10,-1.77,signal
002247,2026-01-20,2.87,2026-03-03,3.02,42,5.23,signal
002247,2026-03-11,3.11,2026-03-20,2.97,9,-4.5,signal
002247,2026-04-13,2.82,2026-04-22,2.8,9,-0.71,signal
002679,2024-01-03,12.5488,2024-01-16,12.5687,13,0.16,signal
002679,2024-03-01,8.9507,2024-03-06,8.4254,5,-5.87,signal
002679,2024-03-12,8.8119,2024-03-28,8.6633,16,-1.69,signal
002679,2024-04-01,9.1787,2024-04-15,8.6038,14,-6.26,signal
002679,2024-05-06,8.1776,2024-05-14,8.2172,8,0.48,signal
002679,2024-05-15,8.4055,2024-05-24,8.3758,9,-0.35,signal
002679,2024-07-01,6.8989,2024-07-05,6.7799,4,-1.72,signal
002679,2024-07-12,6.7512,2024-07-17,6.4624,5,-4.28,signal
002679,2024-07-23,6.542,2024-08-06,6.6317,14,1.37,signal
002679,2024-08-09,6.8408,2024-08-15,6.6814,6,-2.33,signal
002679,2024-08-29,6.5719,2024-09-09,6.4226,11,-2.27,signal
002679,2024-09-10,6.6018,2024-10-10,7.5278,30,14.03,signal
002679,2024-10-15,7.717,2024-10-18,7.5179,3,-2.58,signal
002679,2024-10-23,7.7768,2024-11-15,9.0712,23,16.65,signal
002679,2024-11-29,9.0613,2024-12-18,9.5094,19,4.95,signal
002679,2025-01-17,8.1352,2025-01-22,8.0655,5,-0.86,signal
002679,2025-02-05,8.0954,2025-02-14,8.2547,9,1.97,signal
002679,2025-02-18,8.6032,2025-03-03,8.2149,13,-4.51,signal
002679,2025-03-05,9.0613,2025-03-25,8.5335,20,-5.82,signal
002679,2025-03-27,8.8223,2025-03-28,8.6929,1,-1.47,signal
002679,2025-04-11,8.5037,2025-04-14,8.424,3,-0.94,signal
002679,2025-04-15,8.6431,2025-04-17,8.2946,2,-4.03,signal
002679,2025-05-07,8.6232,2025-05-15,8.7227,8,1.15,signal
002679,2025-05-16,8.8024,2025-06-03,8.7526,18,-0.57,signal
002679,2025-06-05,9.2007,2025-06-20,9.2903,15,0.97,signal
002679,2025-06-30,9.4596,2025-07-07,9.4695,7,0.11,signal
002679,2025-07-08,9.6289,2025-07-11,9.6189,3,-0.1,signal
002679,2025-07-15,9.7085,2025-07-16,9.46,1,-2.56,signal
002679,2025-07-23,10.0,2025-08-01,9.85,9,-1.5,signal
002679,2025-08-06,10.1,2025-08-15,9.92,9,-1.78,signal
002679,2025-08-21,10.18,2025-08-27,10.06,6,-1.18,signal
002679,2025-09-03,10.7,2025-09-04,10.09,1,-5.7,signal
002679,2025-09-11,11.71,2025-09-23,10.34,12,-11.7,signal
002679,2025-10-13,10.49,2025-10-17,10.77,4,2.67,signal
002679,2025-10-20,11.28,2025-11-04,12.63,15,11.97,signal
002679,2025-11-05,14.53,2025-11-07,13.1,2,-9.84,signal
002679,2025-11-10,13.32,2025-11-20,13.86,10,4.05,signal
002679,2025-12-03,13.56,2025-12-10,14.88,7,9.73,signal
002679,2026-01-23,11.95,2026-01-29,11.79,6,-1.34,signal
002679,2026-02-06,11.81,2026-03-03,11.88,25,0.59,signal
002679,2026-03-31,11.13,2026-04-07,10.42,7,-6.38,signal
002679,2026-04-08,11.01,2026-04-10,10.8,2,-1.91,signal
002679,2026-04-14,10.73,2026-04-15,10.62,1,-1.03,signal
002679,2026-04-17,10.65,2026-04-22,10.5,5,-1.41,signal
002679,2026-04-24,10.94,2026-04-27,10.41,3,-4.84,signal
603013,2024-02-22,13.2048,2024-02-29,13.4993,7,2.23,signal
603013,2024-03-01,14.6297,2024-03-26,15.9122,25,8.77,signal
603013,2024-03-27,16.1687,2024-03-28,15.4657,1,-4.35,signal
603013,2024-04-26,14.4112,2024-05-23,14.5514,27,0.97,signal
603013,2024-06-19,14.0836,2024-06-21,13.0602,2,-7.27,signal
603013,2024-07-10,12.5436,2024-07-18,12.5436,8,0.0,signal
603013,2024-07-31,12.3682,2024-08-06,12.5144,6,1.18,signal
603013,2024-08-16,12.6021,2024-08-21,12.222,5,-3.02,signal
603013,2024-08-30,12.3584,2024-10-16,13.6058,47,10.09,signal
603013,2024-10-21,14.0166,2024-10-22,13.909,1,-0.77,signal
603013,2024-10-24,14.5644,2024-11-04,13.8405,11,-4.97,signal
603013,2024-11-08,14.8187,2024-11-15,14.4665,7,-2.38,signal
603013,2024-11-22,14.848,2024-11-25,14.3296,3,-3.49,signal
603013,2024-11-26,14.9458,2024-12-16,15.4447,20,3.34,signal
603013,2024-12-23,15.474,2024-12-24,15.0143,1,-2.97,signal
603013,2024-12-27,15.611,2024-12-31,15.3273,4,-1.82,signal
603013,2025-01-15,14.3687,2025-01-23,14.9165,8,3.81,signal
603013,2025-01-27,15.2197,2025-02-19,14.5252,23,-4.56,signal
603013,2025-02-26,15.6403,2025-03-26,15.9044,28,1.69,signal
603013,2025-03-27,16.8043,2025-03-28,16.2565,1,-3.26,signal
603013,2025-03-31,16.6478,2025-04-01,16.237,1,-2.47,signal
603013,2025-04-18,14.76,2025-05-29,17.6259,41,19.42,signal
603013,2025-05-30,17.978,2025-06-03,16.863,4,-6.2,signal
603013,2025-06-06,17.6628,2025-06-11,17.2935,5,-2.09,signal
603013,2025-06-12,17.9122,2025-06-16,17.0341,4,-4.9,signal
603013,2025-07-01,17.2436,2025-07-30,21.2153,29,23.03,signal
603013,2025-08-07,21.8839,2025-08-12,20.9558,5,-4.24,signal
603013,2025-08-14,21.3949,2025-08-27,23.1412,13,8.16,signal
603013,2025-08-28,24.0094,2025-09-05,23.261,8,-3.12,signal
603013,2025-09-08,24.5782,2025-09-15,24.5283,7,-0.2,signal
603013,2025-09-17,25.3066,2025-09-29,26.3445,12,4.1,signal
603013,2025-10-29,24.15,2025-10-31,23.61,2,-2.24,signal
603013,2025-11-04,24.51,2025-11-05,23.07,1,-5.88,signal
603013,2025-11-06,24.7,2025-11-11,23.27,5,-5.79,signal
603013,2025-11-26,22.2,2025-12-04,21.85,8,-1.58,signal
603013,2025-12-05,22.1,2025-12-12,21.88,7,-1.0,signal
603013,2025-12-18,21.31,2026-01-30,24.51,43,15.02,signal
603013,2026-02-04,25.06,2026-02-11,25.13,7,0.28,signal
603013,2026-03-13,23.16,2026-03-16,22.71,3,-1.94,signal
603013,2026-04-13,18.92,2026-04-24,18.7,11,-1.16,end_of_data
600310,2024-02-23,3.172,2024-03-26,3.369,32,6.21,signal
600310,2024-04-03,3.3395,2024-04-16,3.2311,13,-3.24,signal
600310,2024-04-30,3.1819,2024-05-16,3.3887,16,6.5,signal
